study_id,design,outcome,outcome_category,groups,timepoint,timepoint_label,value_type,mean_e,sd_e,n_e,median_e,iqr_low_e,iqr_high_e,min_e,max_e,standard_error_e,ci_lower_e,ci_upper_e,mean_c,sd_c,n_c,median_c,iqr_low_c,iqr_high_c,min_c,max_c,standard_error_c,ci_lower_c,ci_upper_c,unit,reported_format,adjusted,analysis_scale,notes
Ishibashi 2022,Cohort,Sural_nerve_amplitude,nerve conduction,SGLT2i/without SGLT2i,3 years,NA,Change,1.93,2.73642102,40,NA,NA,NA,NA,NA,NA,NA,NA,0,4.365475919,73,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SE,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,7.89,2.62,23,NA,NA,NA,NA,NA,NA,NA,NA,8.77,1.54,24,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,7.84,2.65,23,NA,NA,NA,NA,NA,NA,NA,NA,8.79,1.45,24,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SD,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,5 months,NA,Change,-0.05,2.041249617,23,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1.160990956,24,NA,NA,NA,NA,NA,NA,NA,NA,μv,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,3.6,1.85,25,NA,NA,NA,NA,NA,NA,NA,NA,3.65,1.865,25,NA,NA,NA,NA,NA,NA,NA,NA,implied μv,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,NA,NA,Endpoint,4.85,1.64,25,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1.93,25,NA,NA,NA,NA,NA,NA,NA,NA,implied μv,mean_SD,NA,NA,NA
El-Haggar 2024,RCT,Sural_nerve_amplitude,nerve conduction,Empagliflozin/standard of care,3 months,NA,Change,1.25,0.635,25,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,0.56,25,NA,NA,NA,NA,NA,NA,NA,NA,implied μv,mean_SD,NA,NA,NA
Ishibashi 2022,Cohort,Sural_nerve_velocity,nerve conduction,SGLT2i/without SGLT2i,NA,NA,Baseline,45.5,5.312626469,40,NA,NA,NA,NA,NA,0.84,NA,NA,45.6,4.784642097,73,NA,NA,NA,NA,NA,0.56,NA,NA,m/s,mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,Sural_nerve_velocity,nerve conduction,SGLT2i/without SGLT2i,NA,NA,Endpoint,46.3,5.186135363,40,NA,NA,NA,NA,NA,0.82,NA,NA,44.7,5.724482509,73,NA,NA,NA,NA,NA,0.67,NA,NA,m/s,mean_SE,NA,NA,NA
Ishibashi 2022,Cohort,Sural_nerve_velocity,nerve conduction,SGLT2i/without SGLT2i,3 years,NA,Change,0.8,4.067824972,40,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,4.161377176,73,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SE,NA,NA,NA
Vafaeinasab 2025,RCT,Sural_nerve_velocity,nerve conduction,Empagliflozin/standard of care,NA,NA,Baseline,46.47,2.55,23,NA,NA,NA,NA,NA,NA,NA,NA,47.04,2.09,24,NA,NA,NA,NA,NA,NA,NA,NA,m/s,mean_SD,NA,NA,NA
